Ticket	Symbol	Direction	Module	Lots	EntryPrice	ExitPrice	SL	TP	Profit	Pips	Won	AI_Conf	AI_Signal	RV	ADX	ADR%	Hist	OpenTime	CloseTime	
38023815	EURJPY+	BUY	STD	0.01	183.881	183.781	183.783	184.326	-0.58	-10.0	false	0		0.00	0.0	0.0		2026.06.25 08:00	2026.06.25 09:33	PRP_STD_2026.06.25 08:00[sl]
38029174	AUDUSD+	SELL	STD	0.01	0.68906	0.69004	0.69035	0.68700	-0.91	-9.8	false	0		0.00	0.0	0.0		2026.06.25 10:15	2026.06.25 11:15	PRP_STD_2026.06.25 10:15
38029175	USDJPY+	BUY	STD	0.01	161.866	161.817	161.727	162.109	-0.31	-4.9	false	0		0.00	0.0	0.0		2026.06.25 10:15	2026.06.25 11:15	PRP_STD_2026.06.25 10:15
38029173	USDCAD+	BUY	STD	0.01	1.42397	1.42280	1.42280	1.42680	-0.77	-11.7	false	0		0.00	0.0	0.0		2026.06.25 10:15	2026.06.25 11:04	PRP_STD_2026.06.25 10:15[sl]
38034416	AUDJPY+	BUY	STD	0.01	111.734	111.635	111.635	112.024	-0.58	-9.9	false	0		0.00	0.0	0.0		2026.06.25 12:30	2026.06.25 12:45	PRP_STD_2026.06.25 12:30[sl]
38031065	USDCHF+	SELL	STD	0.01	0.81132	0.81269	0.81269	0.80941	-1.52	-13.7	false	0		-8.70	41.6	45.3	RED_LIGHT	2026.06.25 11:00	2026.06.25 13:55	PRP_STD_2026.06.25 11:00[sl]
38041362	USDCAD+	BUY	STD	0.01	1.42218	1.42363	1.42363	1.42451	0.86	14.5	true	0		3.96	32.5	41.9	GREEN_LIGHT	2026.06.25 15:45	2026.06.25 15:59	PRP_STD_2026.06.25 15:45[sl]
38040554	NZDUSD+	SELL	STD	0.01	0.56455	0.56414	0.56555	0.56260	0.32	4.1	true	0		0.00	0.0	0.0		2026.06.25 15:30	2026.06.25 15:35	PRP_STD_2026.06.25 15:30
38033416	AUDUSD+	BUY	STD	0.01	0.69024	0.68935	0.68869	0.69264	-0.83	-8.9	false	0		0.00	0.0	0.0		2026.06.25 12:00	2026.06.25 14:15	PRP_STD_2026.06.25 12:00
38035292	NZDUSD+	BUY	STD	0.01	0.56471	0.56401	0.56370	0.56638	-0.66	-7.0	false	0		0.00	0.0	0.0		2026.06.25 13:00	2026.06.25 14:00	PRP_STD_2026.06.25 13:00
38031064	EURUSD+	BUY	STD	0.01	1.13601	1.13628	1.13628	1.13865	0.20	2.7	true	0		0.00	0.0	0.0		2026.06.25 11:00	2026.06.25 12:46	PRP_STD_2026.06.25 11:00[sl]
38030745	NZDUSD+	SELL	STD	0.01	0.56387	0.56465	0.56498	0.56219	-0.73	-7.8	false	0		0.00	0.0	0.0		2026.06.25 10:45	2026.06.25 11:15	PRP_STD_2026.06.25 10:45
